Offence,Prosecution all 1995,Prosecution all 1996,Prosecution all 1997,Prosecution all 1998,Prosecution all 1999,Prosecution all 2000,Prosecution all 2001,Prosecution all 2002,Prosecution all 2003,Prosecution all 2004,Prosecution all 2005,Prosecution all 2006,Prosecution all 2007,Prosecution all 2008,Prosecution all 2009,Prosecution all 2010,Prosecution all 2011,Prosecution all 2012,Prosecution all 2013,Prosecution all 2014,Resolution all 1995,Resolution all 1996,Resolution all 1997,Resolution all 1998,Resolution all 1999,Resolution all 2000,Resolution all 2001,Resolution all 2002,Resolution all 2003,Resolution all 2004,Resolution all 2005,Resolution all 2006,Resolution all 2007,Resolution all 2008,Resolution all 2009,Resolution all 2010,Resolution all 2011,Resolution all 2012,Resolution all 2013,Resolution all 2014,Prosecution Maori 1995,Prosecution Maori 1996,Prosecution Maori 1997,Prosecution Maori 1998,Prosecution Maori 1999,Prosecution Maori 2000,Prosecution Maori 2001,Prosecution Maori 2002,Prosecution Maori 2003,Prosecution Maori 2004,Prosecution Maori 2005,Prosecution Maori 2006,Prosecution Maori 2007,Prosecution Maori 2008,Prosecution Maori 2009,Prosecution Maori 2010,Prosecution Maori 2011,Prosecution Maori 2012,Prosecution Maori 2013,Prosecution Maori 2014,Resolution Maori 1995,Resolution Maori 1996,Resolution Maori 1997,Resolution Maori 1998,Resolution Maori 1999,Resolution Maori 2000,Resolution Maori 2001,Resolution Maori 2002,Resolution Maori 2003,Resolution Maori 2004,Resolution Maori 2005,Resolution Maori 2006,Resolution Maori 2007,Resolution Maori 2008,Resolution Maori 2009,Resolution Maori 2010,Resolution Maori 2011,Resolution Maori 2012,Resolution Maori 2013,Resolution Maori 2014
Total Offences,113371,126013,115529,116540,117427,118598,120891,120506,130965,133455,122810,142924,147625,154446,167298,158693,136026,121578,108205,98279,192646,208963,197557,196449,193640,194871,201927,200574,217585,212940,194459,207526,209650,220182,233125,235211,217151,207797,185627,162209,46580,46991,48436,49211,50256,50196,52515,51147,54056,57346,53203,62057,65073,66098,71121,69098,61951,55257,50305,47889,75744,78519,78504,79324,78826,79617,84414,81930,87661,88615,81320,88252,89173,91944,96421,98881,93467,88421,80647,74402
  Homicide and related offences,87,71,139,71,60,71,84,117,111,101,103,134,101,131,112,129,86,77,81,53,95,93,155,94,69,76,90,129,121,113,110,144,135,138,117,138,93,84,86,61,43,26,46,37,33,40,42,57,35,48,33,41,37,55,62,55,43,34,32,23,47,31,53,40,37,40,45,64,40,54,35,47,64,56,63,59,45,35,33,24
  Acts intended to cause injury,18055,17642,16733,16751,16424,16608,17459,17116,17969,19198,18732,21455,22909,25916,28336,27197,25596,22728,21232,18957,25768,25449,24909,24356,24082,24298,26000,25937,27203,27980,27847,29789,31573,36117,39045,40218,38130,35032,32458,29507,7901,7580,7062,7285,7230,7359,7748,7527,7786,8701,8536,9766,10609,11668,12738,12394,12100,10549,10199,9285,10509,10328,9927,10043,9932,10092,10959,10744,11154,11902,11964,12837,13768,15370,16720,17424,17004,15247,14554,13423
  Sexual assault and related offences,1059,1123,1115,821,742,812,833,1164,891,891,860,1231,1392,1309,1443,1362,1474,1520,1598,1505,1559,1630,1542,1308,1086,1215,1256,1638,1450,1453,1383,1694,1820,1780,1878,1793,1934,2013,2024,1843,287,331,356,297,244,245,241,340,283,270,291,355,326,391,430,334,412,465,506,450,413,414,463,398,327,348,339,426,435,390,399,470,416,484,545,442,515,597,630,521
  Dangerous or negligent acts endangering persons,232,237,218,193,248,201,194,253,311,325,199,263,295,294,311,253,283,242,219,165,874,915,795,737,629,572,645,701,754,799,603,529,555,593,612,619,722,687,645,475,89,66,78,71,89,92,81,76,81,122,71,118,112,119,135,90,105,95,92,70,281,259,229,231,189,188,203,190,212,233,191,188,210,197,244,198,239,218,236,178
"  Abduction, harassment and other related offences against a person",1951,1917,2091,2145,2197,2469,2675,2653,3101,3530,3333,3881,3864,4470,5010,5110,4868,4101,3996,3644,5574,5474,6247,6016,5811,6511,7681,7625,7957,8552,8068,7982,8260,9174,9649,10554,9940,9019,8462,7969,682,670,777,789,848,941,981,960,1189,1370,1335,1526,1628,1745,2091,2125,2038,1721,1718,1663,1478,1449,1684,1699,1695,1765,2083,2139,2395,2526,2471,2519,2717,2902,3276,3639,3616,3235,3027,2948
"  Robbery, extortion and related offences",739,720,840,844,738,697,665,714,902,866,954,1344,1404,1525,1527,1464,1194,1194,1063,1134,1096,1069,1204,1270,1065,990,993,1077,1256,1274,1432,1663,1758,1899,1871,1732,1476,1431,1223,1274,471,390,473,524,471,411,429,382,440,473,518,740,811,902,844,863,636,712,632,727,674,613,705,779,689,585,642,622,675,718,820,928,1026,1106,1061,1028,811,849,730,823
"  Unlawful entry with intent/burglary, break and enter",7523,7179,7586,7101,7106,8450,7448,7003,7509,8254,7985,8893,9008,9357,9891,9037,8931,8665,7723,6991,13364,13155,13683,12309,11936,14523,14186,12605,14009,14125,12817,13139,13391,13469,13628,12703,12432,11924,10323,9021,4255,3963,4187,3926,4060,4294,4238,3782,4243,4549,4397,5028,4805,5083,5394,4937,5038,4958,4334,3926,7531,7570,7625,7048,6748,7814,8172,7001,8007,7994,7330,7509,7396,7434,7556,6961,7187,6995,6048,5257
  Theft and related offences,21250,26734,21198,20811,20972,21310,21288,22106,22849,23428,21846,25888,25360,25655,26305,25139,22780,21573,19372,19559,44271,50796,41895,40173,39840,40764,41078,41144,43412,43085,39225,42291,39636,39459,39974,40275,37632,35967,31796,31148,9565,9744,9887,9618,9903,9518,9804,10040,10088,10680,10023,11907,11924,11437,11581,11541,11260,10387,9663,10711,19598,20342,19053,18799,18705,18355,19122,18730,19430,19977,18133,19978,18354,17576,17572,18544,18165,17018,15578,16507
"  Fraud, deception and related offences",15341,21189,14336,11699,10795,9088,9917,8878,11510,7600,5626,6686,5434,5669,7074,5268,4481,4184,3799,3971,18247,24758,18106,14681,13249,11469,12013,11408,13896,9787,7085,8092,7061,6931,8253,6224,5527,5062,4498,4619,5289,5493,5097,4377,3738,3460,3683,2841,2875,2588,1900,1840,1871,1825,2331,1944,1655,1500,1237,1680,6096,6783,6279,5292,4349,4190,4246,3542,3454,3208,2228,2189,2186,2118,2583,2185,1858,1691,1424,1837
  Illicit drug offences,14683,13534,14813,16632,17137,17034,16205,15373,15617,15673,13092,15218,14958,15138,19437,19133,14941,15863,11810,10705,21467,20359,22317,24651,25035,24295,23705,22552,22950,21925,18035,19707,18863,19483,24162,24923,20719,22405,17171,15390,5362,5196,5869,6682,6978,6711,6390,6012,5831,5797,4616,5700,5430,5414,7060,7092,5472,6083,4677,3986,7646,7496,8522,9500,9827,9400,9116,8601,8442,8040,6358,7250,6682,6950,8738,9182,7505,8399,6580,5600
  Prohibited and regulated weapons and explosives offences,2826,2826,3222,3363,3414,3185,3388,3629,3989,4199,3998,5562,5515,5115,5633,5244,4621,4313,4131,3744,4993,5142,5731,5904,5762,5204,5264,5576,6234,6201,6075,7543,7406,6999,7578,7253,6369,6160,5713,5169,1053,1076,1192,1251,1343,1182,1410,1441,1689,1674,1573,2326,2351,2094,2374,2200,1953,1866,1770,1651,1693,1766,1958,1990,2069,1777,1989,2082,2445,2339,2256,3003,3002,2763,3035,2923,2525,2521,2380,2236
  Property damage and environmental pollution,8496,8908,8396,8674,8611,9307,9486,9552,9907,10162,9834,12108,12238,13056,12821,12584,11686,10680,9776,8092,16040,16964,16434,16674,16238,17861,18605,18582,19227,19434,18087,20580,20230,22198,20841,21001,19541,17637,15992,13324,3195,3225,3358,3301,3256,3583,3879,3807,3824,4269,4070,5122,5238,5361,5312,5367,5231,4713,4440,3961,6108,6543,6338,6306,6132,6891,7333,7140,7383,8082,7391,8802,8622,9525,8735,9080,8849,7837,7305,6508
  Public order offences,12900,14609,14391,15914,16564,16502,17170,17240,19152,23906,21551,23513,27048,28584,30650,29184,20062,13123,11487,8721,28190,30350,30121,32032,31654,29643,31084,31983,35663,38301,34563,34808,38065,40534,43737,47149,44507,43566,40411,28691,4478,4885,4972,5459,5979,6142,6746,6806,7563,9518,8776,9582,11139,11475,12063,11753,8761,5812,5238,4205,8916,9597,9544,10325,10626,10452,11704,11981,13229,14484,13458,13570,15003,15807,16579,17820,16835,16201,15316,12039
"  Offences against justice procedures, government security and government operations",7507,8370,9695,10680,11205,12022,13351,13539,14254,14165,13671,15845,17402,17462,18033,17063,14554,12840,11557,10653,9448,10617,12568,14143,14576,15585,17399,17362,18367,17994,17455,18314,19870,20201,20551,19529,17105,15627,13939,12861,3686,4012,4804,5346,5692,5957,6627,6758,7246,6908,6679,7735,8558,8232,8479,8256,7134,6252,5704,5440,4316,4754,5631,6323,6795,7159,7909,8087,8627,8117,7758,8601,9417,9237,9389,9130,8109,7328,6633,6281
  Miscellaneous offences,722,954,756,841,1214,842,728,1169,2893,1157,1026,903,697,765,715,526,469,475,361,385,1660,2192,1850,2101,2608,1865,1928,2255,5086,1917,1674,1251,1027,1207,1229,1100,1024,1183,886,857,224,334,278,248,392,261,216,318,883,379,385,271,234,297,227,147,113,110,63,111,438,574,493,551,706,561,552,581,1733,551,528,361,310,419,325,266,204,250,173,220
